,address,lat,lon,name,subCategory
78,2 Rue Montpensier,48.863110862222,2.3364942333119,Conseil Constitutionnel,Government Building
79,Avenue de Villiers,48.882680819141996,2.3098754882812003,Métro Malesherbes [3],Subway
80,98 Rue Caulaincourt,48.889622767045005,2.3385214805602996,Métro Lamarck—Caulaincourt [12],Subway
81,19 rue de Constantine,48.859812449238994,2.3147303732359,Service d'information du Gouvernement,Capitol Building
82,Place de la République,48.867509591927,2.3637986183166,"Métro République [3,5,8,9,11]",Subway
83,72 Rue du Faubourg Saint-Martin,48.871879579418,2.3576641182252995,Mairie du 10ème Arrondissement,City Hall
84,Pyramide du Louvre,48.861018076911,2.3358714580536004,Pyramide du Louvre,Monument / Landmark
85,Place de la Madeleine,48.86995141168801,2.325325012207,"Métro Madeleine [8,12,14]",Subway
86,Place Balard,48.836854974727004,2.2785687446594,Métro Balard [8],Subway
87,69 Rue de Rennes,48.851578381283,2.331075668335,Métro Saint-Sulpice [4],Subway
88,Boulevard Raspail,48.839130580736,2.3306250572205003,"Métro Raspail [4,6]",Subway
89,116 Rue de Grenelle,48.857041326341,2.3201807844804,Mairie du 7ème Arrondissement,City Hall
90,"6, rue Albert de Lapparent",48.848648519493,2.3085182905197,Asiem,Convention Center
91,9 Place d'Iéna,48.863985310600995,2.2927550394150003,"Conseil économique, social et environnemental",Government Building
92,Rue de Réaumur,48.867566051533004,2.3463535308837997,Métro Sentier [3],Subway
93,46 rue Cambon,48.869302741098004,2.3278071864621,Potel et Chabot — Pavillon Cambon Capucines,Event Space
94,80 Boulevard Auguste Blanqui,48.830656372521,2.3465229352267003,Le Monde Interactif,Convention Center
95,Rue Molitor,48.845217186293,2.2618424892426003,"Métro Michel-Ange — Molitor [9,10]",Subway
96,68 Rue Michel-Ange,48.842336379341,2.259578704834,Métro Exelmans [9],Subway
97,10 rue Alfred Roll,48.887194206427004,2.3002566743551003,Ambassade du Togo,Embassy / Consulate
98,Place des Ternes,48.877953534841005,2.2980737686157005,Métro Ternes [2],Subway
99,14 Avenue Duquesne,48.85217939103,2.3088366233648996,Ministère des Affaires sociales et de la Santé,Government Building
100,83 Boulevard Brune,48.826054587890994,2.3130190372467,Station Didot [T3a],Light Rail
101,Rue du Temple,48.86514669050901,2.3599486363679,Rue du Temple,Road
102,4 Avenue de la Porte de Sèvres,48.834035969088,2.2743131406472,Héliport de Paris,Airport
103,Boulevard de la Villette,48.884183578613005,2.3676073551178,"Métro Stalingrad [2,5,7]",Subway
104,Place du 11 Novembre 1918,48.876161283398,2.358283996582,"Métro Gare de l'Est [4,5,7]",Subway
105,Rue Marcadet,48.8911535344,2.3429417610168,Rue Marcadet,Road
106,Avenue de Villiers,48.883964869947995,2.3043394088745,Métro Wagram [3],Subway
107,Rue de Rennes,48.848196670128004,2.3278570175171,Métro Rennes [12],Subway
108,Avenue des Champs-Élysées,48.867721315121,2.3137807846069,"Métro Champs-Élysées — Clémenceau [1,13]",Subway
109,1 Boulevard de Reuilly,48.839045843187996,2.3899126052856,Métro Dugommier [6],Subway
110,Rue d'Auteuil,48.847886021323994,2.2642779350281,"Métro Michel-Ange — Auteuil [9,10]",Subway
111,Boulevard Barbès,48.883770853396996,2.3502051830292,"Métro Barbès—Rochechouart [2,4]",Subway
112,145 rue Cardinet,48.887848570208,2.3141884803772004,Gare SNCF de Pont Cardinet,Train Station
113,Place Balard,48.836089,2.278233,Station Balard [T3a],Light Rail
114,Avenue de la Grande Armée,48.875321584451,2.2901451587677,Métro Argentine [1],Subway
115,18 rue de Martignac,48.858204,2.318611,Commissariat général à la stratégie et à la prospective,Government Building
116,82 Avenue Mozart,48.852446717020996,2.268049120903,Métro Jasmin [9],Subway
117,Boulevard Diderot,48.847307079774,2.3865008354187003,"Métro Reuilly—Diderot [1,8]",Subway
118,186 Rue du Faubourg Saint-Antoine,48.85029349914699,2.3838937282562003,Métro Faidherbe—Chaligny [8],Subway
119,186 Rue du Faubourg Saint-Martin,48.878645016262,2.3621678352356,Métro Château-Landon [7],Subway
120,Avenue Daumesnil,48.839642533708,2.3958027362823,"Métro Daumesnil [6,8]",Subway
121,Rue de la Boétie,48.873606861310996,2.3144888877869,"Métro Miromesnil [9,13]",Subway
122,68 Boulevard de Rochechouart,48.882920699269,2.3445296287537003,Métro Anvers — Sacré-Cœur [2],Subway
123,Quai de Bercy,48.827491948748,2.3908996582031,Porte de Bercy,Road
124,Place du 18 Juin 1940,48.842943180734,2.3228305578232002,"Métro Montparnasse–Bienvenüe [4,6,12,13]",Subway
125,2 Avenue Jean-Jaurès,48.882560878647006,2.3702681064606,"Métro Jaurès [2,5,7bis]",Subway
126,17 boulevard Morland,48.849865603514004,2.363062280135,Centre Administratif Morland,Government Building
127,"1, quai de Corse",48.855679899769,2.3469543457031,Tribunal de commerce de Paris,Courthouse
128,Cour de Rome,48.875632063015004,2.3246812820435,"Métro Saint-Lazare [3,12,13,14]",Subway
129,Place d'Iéna,48.86465829898,2.2937178611755,Métro Iéna [9],Subway
130,57 Rue La Fayette,48.87589314577,2.3441433906555,Métro Cadet [7],Subway
131,Place Denfert-Rochereau,48.833890706053,2.3321592807769997,"Métro Denfert-Rochereau [4,6]",Subway
132,1 Boulevard de Courcelles,48.881188597804005,2.3153632879257002,"Métro Villiers [2,3]",Subway
133,11 rue de Cambrai,48.896874097985,2.3797416687012003,Groupe Pierre & Vacances - Center Parcs,General Travel
134,Rue de l'Alboni,48.857472884907,2.2857677936554,Métro Passy [6],Subway
135,44 rue de la Bienfaisance,48.876686,2.314889,Espace Monceau,Meeting Room
136,129 Boulevard Vincent Auriol,48.833216261885006,2.3628222942352,Métro Nationale [6],Subway
137,Rue Brochant,48.890624472642,2.32008934021,Métro Brochant [13],Subway
138,94 Boulevard Saint Germain,48.851105379056996,2.3442721366882004,Métro Cluny—La Sorbonne [10],Subway
139,198 Avenue Jean Jaurès,48.888444679148996,2.3917472362518,Métro Porte de Pantin [5],Subway
140,Boulevard de la Villette,48.872082613623,2.3769092559814,"Métro Belleville [2,11]",Subway
141,Place de la Porte de Bagnolet,48.864488910128,2.4082159996033,Métro Porte de Bagnolet [3],Subway
142,Boulevard Vincent Auriol,48.836991228109,2.3727415471412003,Boulevard Vincent Auriol,Road
143,18 Avenue Kléber,48.871461610511,2.2933101654052996,Métro Kléber [6],Subway
144,Avenue du Général Leclerc,48.828035804266996,2.3269128799437997,Métro Alésia [4],Subway
145,Rue de Reuilly,48.842681089271004,2.3941940039872,Rue de Reuilly,Road
146,26 Rue De Sa. Pétersbourg,48.881966436708005,2.3257543147216,INPI,Government Building
147,259 Rue de Belleville,48.87540626061401,2.3989999294281,Métro Télégraphe [11],Subway
148,78 Rue de Varenne,48.855789578465995,2.3181917116336,"Ministère de l'Alimentation, de l'Agriculture et de la Pêche",Government Building
149,Boulevard Picpus,48.844652335246,2.4021220207213996,Métro Picpus [6],Subway
150,60 Boulevard Haussman,48.873525710405,2.328736782074,"Métro Havre-Caumartin [3,9]",Subway
151,106 rue de l'Université,48.860719146243,2.318986413622,LCP (La Chaîne Parlementaire - Assemblée nationale),Office
152,59 Avenue Kléber,48.866860301878006,2.2900915145874,Métro Boissière [6],Subway
153,5 Rue de l'Aqueduc,48.879982088428,2.3580962419510003,RER Magenta [E],Train Station
154,78 rue de Varenne,48.855748434636,2.3185140628883,Hôtel de Villeroy,Capitol Building
155,Place du Maréchal Juin,48.885319437262,2.29811668396,RER Pereire–Levallois [C],Train Station
156,72 Boulevard Voltaire,48.861058662524,2.3746132850647004,Métro Saint-Ambroise [9],Subway
157,25 rue de la Montagne Sainte-Geneviève,48.847222356059,2.3494809865952004,Ministère de l'Enseignement supérieur et de la Recherche,Government Building
158,1 Place d'Italie,48.832490753645,2.355640020707,Mairie du 13ème Arrondissement,City Hall
159,161 Boulevard de l'Hôpital,48.833053828949005,2.3560416698456,Commissariat Central du 13ème Arr.,Police Station
160,Rue de Rivoli,48.860868086319,2.3408442735672,Métro Louvre-Rivoli [1],Subway
161,9 avenue de la République,48.868421999999995,2.370131,Dentiste,Dentist's Office
162,10 place Adolphe Max,48.883185617167996,2.3299305428652004,Dr Cantini vétérinaire,Veterinarian
163,Avenue Parmentier,48.865194693227,2.3743772506714,Métro Parmentier [3],Subway
164,Boulevard Berthier,48.893911619031,2.3143815994262997,RER Porte de Clichy [C],Train Station
165,48 Avenue Mozart,48.855002219372,2.2697067260742,Métro Ranelagh [9],Subway
166,,48.885949808494,2.3737003451387997,police 19e,Police Station
167,Rue de Rennes,48.846896,2.326819,Métro Saint-Placide [4],Subway
168,Place Pigalle,48.882271609209994,2.3375558853149,"Métro Pigalle [2,12]",Subway
169,130 Boulevard Masséna,48.819863223359,2.3640775680542,Métro Porte de Choisy [7],Subway
170,Quai André Citroën,48.846276264836,2.2784614562987997,Métro Javel—André Citroën [10],Subway
171,Quai Branly,48.857021115176,2.2899842262268,RER Champ de Mars — Tour Eiffel [C],Train Station
172,34 avenue d'Iena,48.866225,2.2948060000000003,Bureau International des Expositions,Office
173,Boulevard Saint-Jacques,48.83290905132301,2.3370838165283,Métro Saint-Jacques [6],Subway
174,"1, Bd de Reuilly",48.839671,2.3995509999999998,Dc Anne Le Moal Bisalputra,Dentist's Office
175,Rue de Sèvres,48.851345410594995,2.3267197608948,"Métro Sèvres—Babylone [10,12]",Subway
176,33 Boulevard Voltaire,48.864573604624994,2.3686695098877,"Métro Oberkampf [5,9]",Subway
177,Avenue de Clichy,48.89425019694,2.3138022422791003,Métro Porte de Clichy [13],Subway
178,"3, rue de Tolbiac",48.831009247611,2.3772954940796,URSSAF,City Hall
179,77 Rue Raymond Losserand,48.833964859046,2.3180615901947,Métro Pernety [13],Subway
180,226 Rue de Rivoli,48.864637125405,2.3293054103851003,Métro Tuileries [1],Subway
181,Boulevard Beaumarchais,48.860903378263,2.3672533035278,Métro Saint-Sébastien — Froissart [8],Subway
182,Place Louis Armand,48.844355785895004,2.3743343353271,Gare SNCF de Paris-Lyon,Train Station
183,Place Gambetta,48.864940612458,2.3984098434448,"Métro Gambetta [3,3bis]",Subway
184,110 Rue de Grenelle,48.85692229000399,2.3213338851929,Ministère de l'Éducation Nationale,Government Building
185,Boulevard de Grenelle,48.853900969159994,2.2893404960632004,Métro Bir-Hakeim [6],Subway
186,12-14 Passage Charles Dallery,48.85418,2.37805,Commissariat Central du 11ème Arr.,Police Station
187,Place de la Nation,48.848648519493,2.3958134651183998,"Métro Nation [1,2,6,9]",Subway
188,Rue de Sèvres,48.848832082133995,2.321355342865,Métro Vaneau [10],Subway
189,37 Quai d'Orsay,48.862329152011995,2.3160874843597,Ministère des Affaires Étrangères et Européennes,Government Building
190,11 rue Galilée,48.867800804085,2.2921996314463,CNC - Centre national de la Cinématographie,Government Building
191,74 Boulevard de Grenelle,48.850427636735,2.2935461997986,Métro Dupleix [6],Subway
192,114-116 av du Maine,48.836192928741,2.3234152793884,Commissariat Central du 14ème Arr.,Police Station
193,70 Boulevard des Batignolles,48.882342162886,2.3215913772583,Métro Rome [2],Subway
194,Avenue Félix Faure,48.838706891561,2.2820663452148,Métro Lourmel [8],Subway
195,Rue Montgallet,48.844405210909,2.3898750543594,Métro Montgallet [8],Subway
196,Rue Botzaris,48.879590495795,2.3890542984009,Métro Botzaris [7bis],Subway
197,Boulevard Voltaire,48.854861034801,2.3851275444031,Métro Charonne [9],Subway
198,36 rue des Morillons,48.833322995621,2.2990635785318,Les Objets Trouvés,Police Station
199,Avenue Simon Bolivar,48.880183175345,2.3742055892944,Avenue Simon Bolivar,Road
200,Boulevard de clichy,48.883696774152,2.3329424858093,Métro Blanche [2],Subway
201,10 rue des Terres au Curé,48.824183000000005,2.37233924,MAS (Maison des Associations de Solidarité),Conference Room
202,Avenue Bosquet,48.85903992955999,2.303352355957,Avenue Bosquet,Road
203,Rue des Petits Carreaux,48.86664857504001,2.3471903800963996,Rue des Petits Carreaux,Road
204,24 Rue Saint-Victor,48.848571482885,2.3503856156306,Maison de la Mutualité,Convention Center
205,Place du Commerce,48.844719411640995,2.2936829924582995,Métro Commerce [8],Subway
206,104 Rue de Rivoli,48.858701113251,2.3474478721619,"Métro Châtelet [1,4,7,11,14]",Subway
207,Place de l'Étoile,48.874185498734995,2.2952950000762997,RER Charles de Gaulle–Étoile [A],Train Station
208,Rue de Dunkerque,48.880253731966,2.3564386367798,"RER Paris Nord [B,D]",Train Station
209,37 Boulevard Poniatowski,48.8325064967,2.3997831344604,Métro Porte de Charenton [8],Subway
210,92 boulevard Ney,48.898347281018,2.3474985701124,Préfecture de Police,Government Building
211,Place du Bataillon du Pacifique,48.840380987102,2.3790259573582,"Métro Bercy [6,14]",Subway
212,12 rue du Général Delestraint,48.841203,2.260135,Aude Devarenne - Osthéopathe,Doctor's Office
213,Place Pereire,48.884846753878,2.2978162765502996,Métro Pereire [3],Subway
214,Boulevard de Courcelles,48.879195372194005,2.3034381866455003,Métro Courcelles [2],Subway
215,Avenue de France,48.82945545124699,2.3769629001617,RER Bibliothèque François Mitterrand [C],Train Station
216,Boulevard de Belleville,48.8671143729,2.3828530311583997,Métro Ménilmontant [2],Subway
217,Rue d'Avron,48.851303052172,2.3982381820679,Métro Avron [2],Subway
218,112 avenue Kleber,48.864417085793,2.2876213177259,Centre d'affaires Paris Trocadero,Convention Center
219,Avenue Franklin Delano Roosevelt,48.872280203906,2.3100471496582,Métro Saint-Philippe-du-Roule [9],Subway
220,,48.840415067329,2.3180538629706002,Direction Générale à l'Emploi et à la Formation Professionnelle,Government Building
221,31 Rue Péclet,48.841235540461994,2.2999151422143997,Mairie du 15ème Arrondissement,City Hall
222,92 Rue la Fayette,48.877311436391004,2.3490679264069,Métro Poissonnière [7],Subway
223,93 rue de Belleville,48.874086707453,2.3852777481079,Métro Pyrénées [11],Subway
224,66 Boulevard Saint-Germain,48.850060522481,2.3486065864562997,Métro Maubert—Mutualité [10],Subway
225,100 avenue Kennedy,48.852009021214,2.2803497314452996,Péniche River's King,Boat or Ferry
226,2 Rue Mirabeau,48.847088209883005,2.2728610038757004,Métro Mirabeau [10],Subway
227,58 Rue d'Amsterdam,48.879632830282,2.3269987106323,Métro Liège [13],Subway
228,71 Avenue de Saint-Ouen,48.893022841111005,2.3275136947632005,Métro Guy Moquet [13],Subway
229,Avenue de Breteuil,48.848311763415005,2.3117309370357,Avenue de Breteuil,Road
230,Rue Jussieu,48.846108578893,2.3547247052193,"Métro Jussieu [7,10]",Subway
231,Place Louis-Armand,48.843836820307,2.3739266395569,"RER Gare de Lyon [A,D]",Train Station
232,Place de la Porte de Saint-Cloud,48.837626467944006,2.2562634944916002,"Arrêt Porte de Saint-Cloud [PC1,22,62,72,175,N12,N61]",Bus Station
233,Rue de Tolbiac,48.82629120787,2.3571681976318,Métro Tolbiac [7],Subway
234,21 rue Balzac,48.875451615033,2.3022743620232,Étoile Saint-Honoré,Meeting Room
235,Place Léon Blum,48.857952885779,2.3799133300781,Métro Voltaire [9],Subway
236,Boulevard Picpus,48.841340767820995,2.4009096622467,Métro Bel-Air [6],Subway
237,Boulevard Jourdan,48.821498552552995,2.3333287239075,Station Montsouris [T3a],Light Rail
238,41 quai du Président Roosevelt,48.834074322788,2.2652435302733998,Centre de conférences Microsoft,Conference Room
239,Boulevard Garibaldi,48.847522418570996,2.3029339313507005,Métro Cambronne [6],Subway
240,"1, rue Cabanis",48.828622031527004,2.3390579223633,CH Sainte-Anne,Hospital
241,Rue de Lappe,48.853339067291,2.3734927894861,Rue de Lappe,Road
242,85 Quai d’Austerlitz,48.841418440353,2.36656665802,Gare SNCF de Paris-Austerlitz,Train Station
243,48 Bis Boulevard de Bercy,48.839102334902,2.3830246925354,Gare SNCF de Paris-Bercy,Train Station
244,"46-68, rue Boileau",48.842334,2.26303,Ambassade du Vietnam,Embassy / Consulate
245,Avenue du Général Leclerc,48.823130296535,2.3255234956741004,Station Porte d'Orléans [T3a],Light Rail
246,89 Avenue Mozart,48.852143643257996,2.2677573754937,Arrêt Jasmin [22],Bus Station
247,Place de la Porte de Châtillon,48.824684289033,2.3188877105712997,Station Jean Moulin [T3a],Light Rail
248,Place du Carrousel,48.861708027847,2.332878112793,Arc de Triomphe du Carrousel,Monument / Landmark
249,146 Avenue Jean Jaurès,48.887076087102,2.3865115642548,Métro Ourcq [5],Subway
250,Boulevard Massena,48.819057901255,2.3601025342941,Station Porte d'Italie [T3a],Light Rail
251,74 boulevard Port Royal,48.838198459820006,2.3431777954102,HIA du Val-de-Grâce,Hospital
252,Rue Cler,48.857261118353,2.3062062263489,Rue Cler,Road
253,21 Rue Beaubourg,48.861213946302,2.3535418510437003,Métro Rambuteau [11],Subway
254,37 Avenue Mac-Mahon,48.878594,2.2942150000000003,"Arrêt Ternes — Mac Mahon [43,92,93]",Bus Station
255,Rue de Vaugirard,48.837238074674,2.2964000701904,Métro Convention [12],Subway
256,4 rue Lasson,48.843166791561,2.406127693006,Maternité Les Bluets,Medical Center
257,Boulevard du Port-Royal,48.839953233649,2.3370784521103,RER Port-Royal [B],Train Station
258,100 Rue d'Avron,48.852686742130004,2.4061346054077,Métro Maraîchers [9],Subway
259,96 Avenue Jean Jaurès,48.885037238764,2.3793983459473,Métro Laumière [5],Subway
260,Rue Baste,48.880465401232996,2.3748922348022004,Métro Bolivar [7bis],Subway
261,25-28 Rue du Docteur Roux,48.841150189515,2.3098705267115,Institut Pasteur,College Science Building
262,33 rue Barbet-de-Jouy,48.852150213828004,2.3180294036865,Conseil Régional IDF Barbet,Government Building
263,Quai André Citroën,48.839134111464006,2.270570397377,RER Pont du Garigliano — Hôpital Européen Georges Pompidou [C],Train Station
264,Boulevard Voltaire,48.856075209097995,2.3831105232239,Boulevard Voltaire,Road
265,71 avenue Henri Martin,48.86389604463199,2.2767448425293,Mairie du 16ème Arrondissement,City Hall
266,2 rue de Viarmes,48.862802048197004,2.3428130149841,CCI Paris Île-de-France - Bourse du commerce,Office
267,Avenue Daumesnil,48.837223951225994,2.4019396305083998,Avenue Daumesnil,Road
268,Avenue du Maine,48.838650399399995,2.3223853111267005,Métro Gaîté [13],Subway
269,5 avenue Velasquez,48.879688100561,2.3129666563337996,Scam,Convention Center
270,42 Avenue Félix Faure,48.841079504782,2.2877740859985,Métro Boucicaut [8],Subway
271,Rue de Châteaudun,48.876048383519,2.3377811908722,Métro Notre-Dame de Lorette [12],Subway
272,27 rue Saint-Ferdinand,48.877009161138,2.2916208428778,HERTZ Car Rental,Rental Car Location
273,40-50,48.867537821738004,2.2709083557129,Ambassade de Russie,Embassy / Consulate
274,3 rue ledantec,48.829843,2.346963,Lekerc,Boat or Ferry
275,31 rue de Moscou,48.889126880587995,2.3209286877346,Laboratoire d'analyses Akiki,Medical Center
276,Rue de Tolbiac,48.827039908500005,2.366738319397,Métro Olympiades [14],Subway
277,Square du Vert Galant,48.857402296155,2.3409461975098,Les Vedettes du Pont Neuf,Boat or Ferry
278,62 av Mozart,48.854171,2.269136,Commissariat Central du 16ème Arr.,Police Station
279,8 Rue Vivienne,48.86740406101,2.3393120028223,CNIL - Commission nationale de l'informatique et des libertés,Government Building
280,102 Boulevard Auguste Blanqui,48.831136374271004,2.3433816432952996,Métro Glacière [6],Subway
281,50 Boulevard Auguste Blanqui,48.829801528245,2.3504304885864,Métro Corvisart [6],Subway
282,Rue de Rivoli,48.861806843570996,2.3380708694458,Rue de Rivoli,Road
283,Quai Saint-Michel,48.85339269166099,2.345666885376,"RER Saint-Michel — Notre-Dame [B,C]",Train Station
284,Passage Montgallet,48.843924920488995,2.3878248893226,Passage Montgallet,Road
285,191 rue de charenton,48.840007,2.3883799999999997,Antenne de police générale,City Hall
286,Place de l'Alma,48.86418189137299,2.3008686304092003,Flamme de la Liberté,Monument / Landmark
287,173 avenue Victor Hugo,48.866366271197,2.2770667076111,Amassade du Nigeria a Paris,Government Building
288,Porte d'Issy-les-Moulineaux,48.834360339823,2.2839975357056,Station Desnouettes [T3a],Light Rail
289,Boulevards des Maréchaux,48.82982271655501,2.2956544160842998,Station Georges Brassens [T3a],Light Rail
290,Quai de Charenton,48.826696824082,2.3902395928575,navette fluviale,Boat or Ferry
291,188 rue Cardinet,48.891028837599,2.3194842804677003,"Arrêt Brochant - Cardinet [31,54,66,74,N15,N51]",Bus Station
292,56 Rue du Faubourg du Temple,48.86995141168801,2.3710513114929,Métro Goncourt [11],Subway
293,,48.880067741033,2.2825903706216,Parking - Bus Beauvais,Bus Line
294,59 Boulevard Vincent Auriol,48.835042360654,2.3686505908267,DGCCRF,Government Building
